City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,bairnsdale,-37.8333,147.6167,14.47,89,97,0.33,AU,1701895157
240,gowurdak,37.8124,66.0466,9.57,37,10,1.04,TM,1701895158
241,west odessa,31.8424,-102.4988,18.56,51,0,6.64,US,1701895158
242,whitby,54.4877,-0.615,2.43,85,72,0.89,GB,1701895158
243,boa vista,2.8197,-60.6733,27.99,69,75,2.57,BR,1701895158
244,ciudad sabinas hidalgo,26.5,-100.1667,17.37,91,100,0.7,MX,1701895158
245,santa isabel,-23.3156,-46.2214,32.84,76,98,1.59,BR,1701894912
246,kapit,2.0167,112.9333,23.22,100,100,0.33,MY,1701895159
247,polyarnyy,69.1989,33.4478,-14.92,96,91,4.61,RU,1701895159
248,flin flon,54.7682,-101.865,0.91,93,75,2.57,CA,1701895159
249,shahpur,16.7,76.8333,21.0,84,100,2.33,IN,1701895159
250,vel'sk,61.0701,42.0983,-15.64,95,100,1.39,RU,1701895159
251,margaret river,-33.95,115.0667,13.06,87,100,3.74,AU,1701895160
252,kzyltu,53.6364,72.3414,-20.55,94,100,6.47,KZ,1701895160
253,copala,16.65,-98.9833,30.27,59,100,3.04,MX,1701895160
254,arvayheer,46.2639,102.775,-2.2,59,42,4.69,MN,1701895160
255,tauranga,-37.6861,176.1667,17.7,76,3,1.79,NZ,1701895160
256,shingu,33.7333,135.9833,13.35,77,3,4.63,JP,1701895160
257,thames,-37.1333,175.5333,17.58,66,75,4.74,NZ,1701895161
258,luwuk,-0.9516,122.7875,25.49,83,88,1.26,ID,1701895161
259,saipan,15.1355,145.701,26.39,89,20,4.12,MP,1701895161
260,progreso,21.2833,-89.6667,27.84,63,100,7.72,MX,1701895161
261,nogliki,51.8333,143.1667,-3.7,87,100,1.79,RU,1701895161
262,canatlan,24.5167,-104.7833,17.73,49,96,2.25,MX,1701895161
263,bulakamba,-6.8748,108.9559,25.53,84,70,4.3,ID,1701895162
264,daru,-9.0763,143.2092,26.23,83,30,3.23,PG,1701895162
265,kourou,5.1552,-52.6478,29.03,84,59,3.07,GF,1701895162
266,markovo,57.3206,107.0881,-43.05,100,73,0.65,RU,1701895162
267,ust-nera,64.5667,143.2,-46.04,90,13,0.88,RU,1701895162
268,the pas,53.8251,-101.2541,2.01,75,75,2.57,CA,1701895163
269,manacapuru,-3.2997,-60.6206,31.52,54,80,0.56,BR,1701895163
270,yuzhno-kurilsk,44.0306,145.8556,7.43,84,100,4.95,RU,1701895163
271,palmas,-10.2128,-48.3603,33.93,59,40,2.57,BR,1701895163
272,flying fish cove,-10.4217,105.6791,24.82,88,75,3.6,CX,1701895163
273,el porvenir,13.7617,-87.3458,28.63,44,14,3.86,HN,1701895163
274,lautoka,-17.6167,177.4667,27.92,69,20,2.06,FJ,1701895164
275,kuressaare,58.2481,22.5039,0.53,85,20,5.66,EE,1701895164
276,quelimane,-17.8786,36.8883,23.97,84,0,2.32,MZ,1701895164
277,cabo san lucas,22.8909,-109.9124,31.17,59,0,4.63,MX,1701894960
278,lata,40.1629,-8.3327,12.67,81,100,1.56,PT,1701895164
279,kralendijk,12.15,-68.2667,29.99,74,75,7.2,BQ,1701894915
280,rio grande,-32.035,-52.0986,21.06,97,100,3.75,BR,1701895165
281,yanchep,-31.55,115.6833,18.86,75,53,4.14,AU,1701895165
282,tamiahua,21.2667,-97.45,21.32,87,100,2.32,MX,1701895165
283,huilong,31.8111,121.655,8.67,58,0,2.73,CN,1701895165
284,zabol,32.25,67.25,3.63,41,0,0.66,AF,1701895165
285,constantia,44.1833,28.65,5.39,83,100,8.43,RO,1701895165
286,el granada,37.5027,-122.4694,19.02,79,75,5.66,US,1701895166
287,gargalianoi,37.0667,21.6333,12.97,68,100,2.73,GR,1701895166
288,yamada,39.4667,141.95,9.42,90,100,3.38,JP,1701895166
289,ankazoabo,-22.2833,44.5167,26.13,56,14,5.31,MG,1701895166
290,lumberton,34.6182,-79.0086,12.99,41,40,6.17,US,1701895166
291,mount gambier,-37.8333,140.7667,12.26,69,100,1.44,AU,1701895166
292,castillos,-34.1667,-53.8333,20.59,92,100,1.46,UY,1701895166
293,sooke,48.3746,-123.7276,9.76,95,100,4.12,CA,1701895087
294,richards bay,-28.783,32.0377,20.05,85,100,1.9,ZA,1701895167
295,saint-pierre,-21.3393,55.4781,25.32,65,75,2.57,RE,1701895167
296,la'ie,21.6477,-157.9253,27.98,72,6,4.47,US,1701895167
297,siocon,7.7061,122.1353,25.96,88,95,2.51,PH,1701895167
298,vakarai,55.6035,23.8213,-5.71,96,89,2.92,LT,1701895167
299,dire dawa,9.5931,41.8661,19.88,43,23,0.46,ET,1701895168
300,kiunga,-6.1219,141.2906,23.32,99,99,0.29,PG,1701895168
301,port augusta,-32.5,137.7667,25.02,48,100,5.39,AU,1701895168
302,lorengau,-2.0226,147.2712,28.12,81,100,5.17,PG,1701895168
303,pahrump,36.2083,-115.9839,21.84,25,46,3.13,US,1701895168
304,port saint john's,-31.6229,29.5448,19.72,88,100,7.02,ZA,1701895169
305,pacasmayo,-7.4006,-79.5714,21.69,76,100,6.36,PE,1701895169
306,villanueva del arzobispo,38.1684,-3.0074,7.86,88,82,0.38,ES,1701895169
307,beltran,-27.8291,-64.061,25.99,60,97,3.2,AR,1701895169
308,kidal,18.4411,1.4078,24.97,12,0,2.9,ML,1701895169
